,level_0,index,office,acquisition,category_code,deadpooled_year,founded_year,funding_rounds,investments,ipo,name,number_of_employees,products,total_money_raised_normalized_USD,lat,lng,oficina_principal
0,0,0,"{'description': 'Headquarters', 'address1': '9229 W. Sunset Blvd.', 'address2': '', 'zip_code': '90069', 'city': 'West Hollywood', 'state_code': 'CA', 'country_code': 'USA', 'latitude': 34.090368, 'longitude': -118.393064}","{'price_amount': None, 'price_currency_code': 'USD', 'term_code': None, 'source_url': 'http://techcrunch.com/2012/11/28/all-in-the-family-myheritage-buys-former-yammer-stablemate-geni-com-raises-25m/', 'source_description': 'MyHeritage acquires Geni and $25M to build family tree of the whole world', 'acquired_year': 2012, 'acquired_month': 11, 'acquired_day': 28, 'acquiring_company': {'name': 'MyHeritage', 'permalink': 'myheritage'}}",web,,2006,"[{'id': 6, 'round_code': 'a', 'source_url': '', 'source_description': '', 'raised_amount': 1500000, 'raised_currency_code': 'USD', 'funded_year': 2007, 'funded_month': 1, 'funded_day': 1, 'investments': [{'company': None, 'financial_org': {'name': 'Founders Fund', 'permalink': 'founders-fund'}, 'person': None}]}, {'id': 7, 'round_code': 'b', 'source_url': 'http://www.techcrunch.com/2007/03/05/100-million-valuation-for-geni/', 'source_description': '100 Million Valuation for Geni', 'raised_amount': 10000000, 'raised_currency_code': 'USD', 'funded_year': 2007, 'funded_month': 3, 'funded_day': 1, 'investments': [{'company': None, 'financial_org': {'name': 'Charles River Ventures', 'permalink': 'charles-river-ventures'}, 'person': None}]}, {'id': 4676, 'round_code': 'c', 'source_url': 'http://www.readwriteweb.com/archives/geni_gets_another_5_million_fo.php', 'source_description': 'Geni Gets Another $5 Million for Social Networking and Genealogy Site: What About Yammer?', 'raised_amount': 5000000, 'raised_currency_code': 'USD', 'funded_year': 2009, 'funded_month': 1, 'funded_day': 19, 'investments': [{'company': None, 'financial_org': {'name': 'Charles River Ventures', 'permalink': 'charles-river-ventures'}, 'person': None}, {'company': None, 'financial_org': {'name': 'Founders Fund', 'permalink': 'founders-fund'}, 'person': None}]}]",[],,Geni,18,"[{'name': 'Geni', 'permalink': 'geni'}]",16500000.0,34.090368,-118.393064,"{'type': 'Point', 'coordinates': [-118.393064, 34.090368]}"
1,1,1,"{'description': '', 'address1': '100 5th Ave Fl 6', 'address2': '', 'zip_code': '10011-6903', 'city': 'New York', 'state_code': 'NY', 'country_code': 'USA', 'latitude': 40.7464969, 'longitude': -74.0094471}","{'price_amount': None, 'price_currency_code': 'USD', 'term_code': None, 'source_url': 'http://www.techcrunch.com/2009/11/24/joost-acquired-adconion/', 'source_description': 'Joost Is Now Officially Dead â€“ Assets Acquired By Adconion Media Group', 'acquired_year': 2009, 'acquired_month': 11, 'acquired_day': 24, 'acquiring_company': {'name': 'Adconion Media Group', 'permalink': 'adconion-media-group'}}",games_video,,2006,"[{'id': 19, 'round_code': 'a', 'source_url': 'http://www.lksf.org/eng/media/press/20070510.shtml', 'source_description': 'Joost Announces $45 million Funding', 'raised_amount': 45000000, 'raised_currency_code': 'USD', 'funded_year': 2007, 'funded_month': 5, 'funded_day': 9, 'investments': [{'company': None, 'financial_org': {'name': 'Sequoia Capital', 'permalink': 'sequoia-capital'}, 'person': None}, {'company': None, 'financial_org': None, 'person': {'first_name': 'Li', 'last_name': 'Ka-shing', 'permalink': 'li-ka-shing'}}, {'company': None, 'financial_org': {'name': 'Index Ventures', 'permalink': 'index-ventures'}, 'person': None}]}]",[],,Joost,0,"[{'name': 'Joost', 'permalink': 'joost'}]",45000000.0,40.7464969,-74.0094471,"{'type': 'Point', 'coordinates': [-74.0094471, 40.7464969]}"
2,2,2,"{'description': '', 'address1': '3525 Eastham Dr.', 'address2': '', 'zip_code': '90232', 'city': 'Culver City', 'state_code': 'CA', 'country_code': 'USA', 'latitude': 34.017606, 'longitude': -118.487267}",,web,,2007,"[{'id': 323, 'round_code': 'a', 'source_url': 'http://www.paidcontent.org/entry/419-d-calacanis-new-venture-mahalo-human-powered-search-engine/', 'source_description': '@ D: Calacanisâ€™ New Venture: Mahalo, Human-Powered Search Engine; $16 Million Funding', 'raised_amount': 5000000, 'raised_currency_code': 'USD', 'funded_year': 2006, 'funded_month': 1, 'funded_day': 1, 'investments': [{'company': None, 'financial_org': {'name': 'Sequoia Capital', 'permalink': 'sequoia-capital'}, 'person': None}, {'company': None, 'financial_org': None, 'person': {'first_name': 'Mark', 'last_name': 'Cuban', 'permalink': 'mark-cuban'}}, {'company': None, 'financial_org': None, 'person': {'first_name': 'Jonathan', 'last_name': 'Miller', 'permalink': 'jonathan-miller'}}]}, {'id': 324, 'round_code': 'b', 'source_url': 'http://www.paidcontent.org/entry/419-d-calacanis-new-venture-mahalo-human-powered-search-engine/', 'source_description': '@ D: Calacanisâ€™ New Venture: Mahalo, Human-Powered Search Engine; $16 Million Funding', 'raised_amount': 16000000, 'raised_currency_code': 'USD', 'funded_year': 2007, 'funded_month': 1, 'funded_day': 1, 'investments': [{'company': {'name': 'CBS', 'permalink': 'cbs'}, 'financial_org': None, 'person': None}, {'company': {'name': 'News Corp', 'permalink': 'newscorporation'}, 'financial_org': None, 'person': None}, {'company': None, 'financial_org': {'name': 'Sequoia Capital', 'permalink': 'sequoia-capital'}, 'person': None}, {'company': None, 'financial_org': None, 'person': {'first_name': 'Mark', 'last_name': 'Cuban', 'permalink': 'mark-cuban'}}, {'company': None, 'financial_org': None, 'person': {'first_name': 'Elon', 'last_name': 'Musk', 'permalink': 'elon-musk'}}, {'company': None, 'financial_org': {'name': 'Acton Capital Partners', 'permalink': 'acton-capital-partners'}, 'person': None}]}]",[],,Mahalo,40,"[{'name': 'Mahalo', 'permalink': 'mahalo'}]",21000000.0,34.017606,-118.487267,"{'type': 'Point', 'coordinates': [-118.487267, 34.017606]}"
3,3,3,"{'description': None, 'address1': '442 Post Street', 'address2': '10th Floor', 'zip_code': '94102', 'city': 'San Francisco', 'state_code': 'CA', 'country_code': 'USA', 'latitude': 37.788482, 'longitude': -122.409173}","{'price_amount': None, 'price_currency_code': 'USD', 'term_code': None, 'source_url': 'http://techcrunch.com/2011/01/31/exclusive-kit-digital-acquires-kickapps-kewego-and-kyte-for-77-2-million/', 'source_description': 'KIT digital Acquires KickApps, Kewego AND Kyte For $77.2 Million', 'acquired_year': 2011, 'acquired_month': 1, 'acquired_day': 31, 'acquiring_company': {'name': 'KIT digital', 'permalink': 'kit-digital'}}",games_video,,2006,"[{'id': 32, 'round_code': 'a', 'source_url': 'http://www.kyte.tv/press/release/20070423.html', 'source_description': 'kyte.tv takes self expression to the next level', 'raised_amount': 2250000, 'raised_currency_code': 'USD', 'funded_year': 2007, 'funded_month': 7, 'funded_day': 1, 'investments': [{'company': None, 'financial_org': {'name': 'Atomico', 'permalink': 'atomico'}, 'person': None}, {'company': None, 'financial_org': {'name': 'Draper Fisher Jurvetson (DFJ)', 'permalink': 'draper-fisher-jurvetson'}, 'person': None}, {'company': None, 'financial_org': None, 'person': {'first_name': 'Ron', 'last_name': 'Conway', 'permalink': 'ron-conway'}}, {'company': None, 'financial_org': {'name': 'Draper Richards', 'permalink': 'draper-richards'}, 'person': None}]}, {'id': 480, 'round_code': 'b', 'source_url': 'http://scobleizer.com/2007/12/19/kytetv-announces-funding-new-features/', 'source_description': 'Kyte announces funding, new features', 'raised_amount': 15000000, 'raised_currency_code': 'USD', 'funded_year': 2007, 'funded_month': 12, 'funded_day': 1, 'investments': [{'company': {'name': 'Nokia', 'permalink': 'nokia'}, 'financial_org': None, 'person': None}, {'company': None, 'financial_org': {'name': 'Draper Fisher Jurvetson (DFJ)', 'permalink': 'draper-fisher-jurvetson'}, 'person': None}, {'company': None, 'financial_org': {'name': 'DoCoMo Capital', 'permalink': 'docomo-capital'}, 'person': None}, {'company': None, 'financial_org': {'name': 'Swisscom Ventures', 'permalink': 'swisscom-ventures'}, 'person': None}, {'company': None, 'financial_org': {'name': 'Telefonica Ventures', 'permalink': 'telefonica-ventures'}, 'person': None}]}, {'id': 1697, 'round_code': 'b', 'source_url': 'http://www.kyte.com/newsroom/pg/kyte_completes_211_million_of_series_b_funding_with_investments_from_steamb', 'source_description': 'Kyte press release', 'raised_amount': 6100000, 'raised_currency_code': 'USD', 'funded_year': 2008, 'funded_month': 3, 'funded_day': 10, 'investments': [{'company': None, 'financial_org': {'name': 'Steamboat Ventures', 'permalink': 'steamboat-ventures'}, 'person': None}, {'company': {'name': 'Teliasonera', 'permalink': 'teliasonera'}, 'financial_org': None, 'person': None}]}, {'id': 52969, 'round_code': 'seed', 'source_url': '', 'source_description': 'y combinator source', 'raised_amount': None, 'raised_currency_code': 'USD', 'funded_year': 2012, 'funded_month': 3, 'funded_day': None, 'investments': [{'company': {'name': 'Y Combinator', 'permalink': 'y-combinator'}, 'financial_org': None, 'person': None}]}]",[],,Kyte,40,"[{'name': 'Kyte', 'permalink': 'kyte'}, {'name': 'Kyte Mobile Producer', 'permalink': 'kyte-mobile-producer'}]",23400000.0,37.788482,-122.409173,"{'type': 'Point', 'coordinates': [-122.409173, 37.788482]}"
4,4,4,"{'description': '', 'address1': '475 Park Ave South', 'address2': '10th Floor', 'zip_code': '10016', 'city': 'New York', 'state_code': 'NY', 'country_code': 'USA', 'latitude': 37.480999, 'longitude': -122.173887}","{'price_amount': 62500000, 'price_currency_code': 'USD', 'term_code': 'cash_and_stock', 'source_url': 'http://www.masshightech.com/stories/2011/04/11/daily11-Jingle-Networks-bought-for-up-to-625M.html', 'source_description': 'Jingle Networks bought for up to $62.5M', 'acquired_year': 2011, 'acquired_month': 4, 'acquired_day': 11, 'acquiring_company': {'name': 'Marchex', 'permalink': 'marchex'}}",mobile,,2005,"[{'id': 36, 'round_code': 'c', 'source_url': 'http://www.techcrunch.com/2006/10/23/jingle-networks-has-now-raised-over-60-million/', 'source_description': '', 'raised_amount': 30000000, 'raised_currency_code': 'USD', 'funded_year': 2006, 'funded_month': 10, 'funded_day': 1, 'investments': [{'company': None, 'financial_org': {'name': 'Goldman Sachs', 'permalink': 'goldman-sachs'}, 'person': None}, {'company': None, 'financial_org': {'name': 'Hearst Ventures', 'permalink': 'hearst-interactive-media'}, 'person': None}]}, {'id': 37, 'round_code': 'a', 'source_url': 'http://www.techcrunch.com/2006/10/23/jingle-networks-has-now-raised-over-60-million/', 'source_description': '', 'raised_amount': 5000000, 'raised_currency_code': 'USD', 'funded_year': 2005, 'funded_month': 12, 'funded_day': 1, 'investments': [{'company': None, 'financial_org': {'name': 'First Round Capital', 'permalink': 'first-round-capital'}, 'person': None}, {'company': None, 'financial_org': {'name': 'Liberty Associated Partners', 'permalink': 'liberty-associated-partners'}, 'person': None}, {'company': None, 'financial_org': {'name': 'Rose Tech Ventures', 'permalink': 'rose-tech-ventures'}, 'person': None}]}, {'id': 38, 'round_code': 'b', 'source_url': 'http://www.techcrunch.com/2006/10/23/jingle-networks-has-now-raised-over-60-million/', 'source_description': '', 'raised_amount': 26000000, 'raised_currency_code': 'USD', 'funded_year': 2006, 'funded_month': 4, 'funded_day': 1, 'investments': [{'company': None, 'financial_org': {'name': 'Liberty Associated Partners', 'permalink': 'liberty-associated-partners'}, 'person': None}]}, {'id': 1279, 'round_code': 'angel', 'source_url': 'http://www.techcrunch.com/2005/10/03/1-800-free-411-free-directory-calls/', 'source_description': '', 'raised_amount': 400000, 'raised_currency_code': 'USD', 'funded_year': 2005, 'funded_month': 10, 'funded_day': 1, 'investments': [{'company': None, 'financial_org': {'name': 'First Round Capital', 'permalink': 'first-round-capital'}, 'person': None}, {'company': None, 'financial_org': {'name': 'Lead Dog Ventures', 'permalink': 'lead-dog-ventures'}, 'person': None}]}, {'id': 1402, 'round_code': 'c', 'source_url': 'http://www.pehub.com/article/articledetail.php?articlepostid=9702', 'source_description': '', 'raised_amount': 13000000, 'raised_currency_code': 'USD', 'funded_year': 2008, 'funded_month': 1, 'funded_day': 1, 'investments': [{'company': None, 'financial_org': {'name': 'First Round Capital', 'permalink': 'first-round-capital'}, 'person': None}, {'company': None, 'financial_org': {'name': 'Goldman Sachs', 'permalink': 'goldman-sachs'}, 'person': None}, {'company': None, 'financial_org': {'name': 'Flybridge Capital Partners', 'permalink': 'flybridge-capital'}, 'person': None}, {'company': None, 'financial_org': {'name': 'Liberty Associated Partners', 'permalink': 'liberty-associated-partners'}, 'person': None}, {'company': None, 'financial_org': {'name': 'Hearst Ventures', 'permalink': 'hearst-interactive-media'}, 'person': None}]}, {'id': 5025, 'round_code': 'd', 'source_url': 'http://venturebeat.com/2009/02/04/jingle-networks-keys-up-75m-for-directory-assistance/', 'source_description': ' Jingle Networks keys up $7.5M for directory assistance', 'raised_amount': 7500000, 'raised_currency_code': 'USD', 'funded_year': 2009, 'funded_month': 2, 'funded_day': 4, 'investments': [{'company': None, 'financial_org': {'name': 'Goldman Sachs', 'permalink': 'goldman-sachs'}, 'person': None}, {'company': None, 'financial_org': {'name': 'Hearst Ventures', 'permalink': 'hearst-interactive-media'}, 'person': None}, {'company': None, 'financial_org': {'name': 'IDG Ventures', 'permalink': 'idg-ventures'}, 'person': None}, {'company': None, 'financial_org': {'name': 'Liberty Associated Partners', 'permalink': 'liberty-associated-partners'}, 'person': None}, {'company': None, 'financial_org': {'name': 'Comcast Ventures', 'permalink': 'comcast-interactive-capital'}, 'person': None}, {'company': None, 'financial_org': {'name': 'First Round Capital', 'permalink': 'first-round-capital'}, 'person': None}]}, {'id': 10683, 'round_code': 'unattributed', 'source_url': 'http://sec.gov/Archives/edgar/data/1337954/000133795409000003/xslFormDX01/primary_doc.xml', 'source_description': 'SEC D', 'raised_amount': 6751133, 'raised_currency_code': 'USD', 'funded_year': 2009, 'funded_month': 12, 'funded_day': 28, 'investments': []}]",[],,Jingle Networks,35,"[{'name': 'MyFree411', 'permalink': 'myfree411'}]",88700000.0,37.480999,-122.173887,"{'type': 'Point', 'coordinates': [-122.173887, 37.480999]}"
5,5,5,"{'description': 'Jajah HQ', 'address1': '2513 Charleston Road', 'address2': 'Suite 102', 'zip_code': '94043', 'city': 'Mountain View', 'state_code': 'CA', 'country_code': 'USA', 'latitude': 37.4233896, 'longitude': -122.0899512}","{'price_amount': 207000000, 'price_currency_code': 'USD', 'term_code': None, 'source_url': 'http://www.techcrunch.com/2009/12/23/confirmed-jajah-sold-207-million/', 'source_description': 'Confirmed: Jajah Sold For $207 Million', 'acquired_year': 2009, 'acquired_month': 12, 'acquired_day': 20, 'acquiring_company': {'name': 'O2', 'permalink': 'o2'}}",mobile,,2005,"[{'id': 78, 'round_code': 'c', 'source_url': 'http://www.techcrunch.com/2007/05/09/jajah-lands-20-million-series-c-funding-from-intel/', 'source_description': '', 'raised_amount': 20000000, 'raised_currency_code': 'USD', 'funded_year': 2007, 'funded_month': 5, 'funded_day': 1, 'investments': [{'company': {'name': 'Intel', 'permalink': 'intel'}, 'financial_org': None, 'person': None}, {'company': None, 'financial_org': {'name': 'T-Venture', 'permalink': 't-venture'}, 'person': None}]}, {'id': 667, 'round_code': 'a', 'source_url': 'http://gigaom.com/2006/03/19/sequoia-goes-jajah-over-voip/', 'source_description': '', 'raised_amount': 3000000, 'raised_currency_code': 'USD', 'funded_year': 2006, 'funded_month': 3, 'funded_day': 1, 'investments': [{'company': None, 'financial_org': {'name': 'Sequoia Capital', 'permalink': 'sequoia-capital'}, 'person': None}]}, {'id': 668, 'round_code': 'b', 'source_url': 'http://www.demo.com/demonstrators/demo2006fall/79831.php', 'source_description': '', 'raised_amount': 5000000, 'raised_currency_code': 'USD', 'funded_year': 2006, 'funded_month': 4, 'funded_day': 1, 'investments': [{'company': None, 'financial_org': {'name': 'Globespan Capital Partners', 'permalink': 'globespan-capital-partners'}, 'person': None}]}, {'id': 10485, 'round_code': 'd', 'source_url': 'http://www.pehub.com/login.php?p=/34321/jajah-raising-fourth-round/', 'source_description': '', 'raised_amount': 5000000, 'raised_currency_code': 'USD', 'funded_year': 2009, 'funded_month': 3, 'funded_day': 1, 'investments': []}]",[],,Jajah,110,"[{'name': 'Jajah Mobile Plugin', 'permalink': 'jajah-mobile-plugin'}, {'name': 'EM ONE', 'permalink': 'em-one'}]",33000000.0,37.4233896,-122.0899512,"{'type': 'Point', 'coordinates': [-122.0899512, 37.4233896]}"
6,6,6,"{'description': 'Corporate Headquarters', 'address1': '901 Cherry Ave', 'address2': '', 'zip_code': '94066', 'city': 'San Bruno', 'state_code': 'CA', 'country_code': 'USA', 'latitude': 37.627971, 'longitude': -122.426804}","{'price_amount': 1650000000, 'price_currency_code': 'USD', 'term_code': 'stock', 'source_url': 'http://www.techcrunch.com/2006/10/09/google-has-acquired-youtube/', 'source_description': 'Google has acquired YouTube', 'acquired_year': 2006, 'acquired_month': 10, 'acquired_day': None, 'acquiring_company': {'name': 'Google', 'permalink': 'google'}}",games_video,,2005,"[{'id': 75, 'round_code': 'a', 'source_url': 'http://www.marketwire.com/2.0/release.do?id=736129&sourceType=1', 'source_description': None, 'raised_amount': 3500000, 'raised_currency_code': 'USD', 'funded_year': 2005, 'funded_month': 11, 'funded_day': 1, 'investments': [{'company': None, 'financial_org': {'name': 'Sequoia Capital', 'permalink': 'sequoia-capital'}, 'person': None}]}, {'id': 76, 'round_code': 'b', 'source_url': 'http://news.com.com/8301-10784_3-6057968-7.html', 'source_description': None, 'raised_amount': 8000000, 'raised_currency_code': 'USD', 'funded_year': 2006, 'funded_month': 4, 'funded_day': 1, 'investments': [{'company': None, 'financial_org': {'name': 'Sequoia Capital', 'permalink': 'sequoia-capital'}, 'person': None}]}]",[],,YouTube,0,[],11500000.0,37.627971,-122.426804,"{'type': 'Point', 'coordinates': [-122.426804, 37.627971]}"
7,7,7,"{'description': 'Livestream HQ', 'address1': '111 8th Avenue, #1509', 'address2': '', 'zip_code': '10011', 'city': 'New York', 'state_code': 'NY', 'country_code': 'USA', 'latitude': 40.726155, 'longitude': -73.995625}","{'price_amount': None, 'price_currency_code': 'USD', 'term_code': 'cash_and_stock', 'source_url': '', 'source_description': 'company', 'acquired_year': 2008, 'acquired_month': 1, 'acquired_day': 1, 'acquiring_company': {'name': 'Adviqo', 'permalink': 'adviqo'}}",games_video,,2007,"[{'id': 530, 'round_code': 'angel', 'source_url': 'http://www.paidcontent.org/entry/419-online-personal-broadcasting-firm-mogulus-gets-12-million-angel-funding/', 'source_description': '', 'raised_amount': 1200000, 'raised_currency_code': 'USD', 'funded_year': 2007, 'funded_month': 5, 'funded_day': 1, 'investments': []}, {'id': 1338, 'round_code': 'angel', 'source_url': '', 'source_description': '', 'raised_amount': 1500000, 'raised_currency_code': 'USD', 'funded_year': 2008, 'funded_month': 1, 'funded_day': 1, 'investments': []}, {'id': 3031, 'round_code': 'a', 'source_url': '', 'source_description': '', 'raised_amount': 10000000, 'raised_currency_code': 'USD', 'funded_year': 2008, 'funded_month': 7, 'funded_day': 1, 'investments': [{'company': {'name': 'Gannett', 'permalink': 'gannett'}, 'financial_org': None, 'person': None}]}, {'id': 48946, 'round_code': 'partial', 'source_url': 'http://www.sec.gov/Archives/edgar/data/1535651/000153565111000003/xslFormDX01/primary_doc.xml', 'source_description': 'SEC', 'raised_amount': 1999973, 'raised_currency_code': 'USD', 'funded_year': 2011, 'funded_month': 11, 'funded_day': 9, 'investments': []}]",[],,Livestream,120,"[{'name': 'Mogulus-Pro', 'permalink': 'mogulus'}, {'name': 'Mogulus Free', 'permalink': 'mogulus-free'}, {'name': 'Procaster', 'permalink': 'procaster'}]",14700000.0,40.726155,-73.995625,"{'type': 'Point', 'coordinates': [-73.995625, 40.726155]}"
8,8,8,"{'description': '', 'address1': '131 Varick St', 'address2': '', 'zip_code': '10013', 'city': 'NYC', 'state_code': 'NY', 'country_code': 'USA', 'latitude': 40.801358, 'longitude': -74.3372}",,games_video,,2007,"[{'id': 50, 'round_code': 'a', 'source_url': 'http://www.techcrunch.com/2007/02/20/union-square-ventures-funds-adaptive-blue/', 'source_description': '', 'raised_amount': 1500000, 'raised_currency_code': 'USD', 'funded_year': 2007, 'funded_month': 2, 'funded_day': 15, 'investments': [{'company': None, 'financial_org': {'name': 'Union Square Ventures', 'permalink': 'union-square-ventures'}, 'person': None}]}, {'id': 3625, 'round_code': 'b', 'source_url': 'http://www.pehub.com/20129/adaptiveblue-raises-second-round/', 'source_description': 'peHUB', 'raised_amount': 4520000, 'raised_currency_code': 'USD', 'funded_year': 2008, 'funded_month': 10, 'funded_day': 10, 'investments': [{'company': None, 'financial_org': {'name': 'Union Square Ventures', 'permalink': 'union-square-ventures'}, 'person': None}, {'company': None, 'financial_org': {'name': 'RRE Ventures', 'permalink': 'rre-ventures'}, 'person': None}]}, {'id': 20359, 'round_code': 'unattributed', 'source_url': 'http://paidcontent.org/article/419-adaptiveblue-raises-6-million-for-media-check-in-led-by-time-warner/', 'source_description': 'AdaptiveBlue Raises $6 Million For Media â€œCheck-Inâ€\x9d, Led By Time Warner ', 'raised_amount': 6000000, 'raised_currency_code': 'USD', 'funded_year': 2010, 'funded_month': 12, 'funded_day': 5, 'investments': [{'company': {'name': 'Time Warner', 'permalink': 'timewarner'}, 'financial_org': None, 'person': None}]}, {'id': 31328, 'round_code': 'unattributed', 'source_url': 'http://techcrunch.com/2012/01/11/social-entertainment-network-getglue-raises-12-million-in-new-financing/', 'source_description': 'Social Entertainment Network GetGlue Raises $12 Million In New Financing', 'raised_amount': 12000000, 'raised_currency_code': 'USD', 'funded_year': 2012, 'funded_month': 1, 'funded_day': 11, 'investments': []}]",[],,AdaptiveBlue,15,"[{'name': 'GetGlue', 'permalink': 'glue-2'}]",24000000.0,40.801358,-74.3372,"{'type': 'Point', 'coordinates': [-74.3372, 40.801358]}"
9,9,9,"{'description': None, 'address1': '48389 Fremont Blvd., Suite #110', 'address2': None, 'zip_code': '94538', 'city': 'Fremont', 'state_code': 'CA', 'country_code': 'USA', 'latitude': 37.465645, 'longitude': -121.932202}","{'price_amount': 60000000, 'price_currency_code': 'USD', 'term_code': 'cash', 'source_url': 'http://www.techcrunch.com/2007/07/02/deal-is-confirmed-google-acquired-grandcentral/', 'source_description': 'Deal is Confirmed: Google Acquired GrandCentral', 'acquired_year': 2007, 'acquired_month': 7, 'acquired_day': 1, 'acquiring_company': {'name': 'Google', 'permalink': 'google'}}",mobile,,2006,"[{'id': 52, 'round_code': 'a', 'source_url': 'http://www.thealarmclock.com/mt/archives/2007/06/we_almost_subsc.html', 'source_description': 'We Almost Subscribed To Grand Central. Will Wait To See If Google Indeed Buys It.', 'raised_amount': 4000000, 'raised_currency_code': 'USD', 'funded_year': 2006, 'funded_month': 1, 'funded_day': 1, 'investments': [{'company': None, 'financial_org': {'name': 'Minor Ventures', 'permalink': 'minor-ventures'}, 'person': None}]}]",[],,GrandCentral,3,"[{'name': 'Grand Central', 'permalink': 'grand-central'}]",4000000.0,37.465645,-121.932202,"{'type': 'Point', 'coordinates': [-121.932202, 37.465645]}"
